																																										
General Info																																										
																																										
Run information																																										
593	B02	Unknown	AcetoPhAssay 10/96	0.86348	288.84	245	8																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.526548	288.98	265	8																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.905029	328.84	245	9																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.53576	328.98	265	9																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.944911	368.84	245	10																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.544336	368.98	265	10																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.986364	408.84	245	11																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.553457	408.98	265	11																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.02831	448.84	245	12																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.562564	448.98	265	12																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.06971	488.84	245	13																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.571571	488.98	265	13																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.11131	528.84	245	14																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.580596	528.98	265	14																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.15325	568.84	245	15																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.589548	568.98	265	15																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.19392	608.84	245	16																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.598242	608.98	265	16																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.23489	648.84	245	17																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.607173	648.98	265	17																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.2762	688.84	245	18																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.615869	688.98	265	18																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.31704	728.84	245	19																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.624872	728.98	265	19																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.35603	768.85	245	20																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.632831	768.98	265	20																																			
593	B02	Unknown	AcetoPhAssay 10/96	1.39515	808.84	245	21																																			
593	B02	Unknown	AcetoPhAssay 10/96	0.641105	808.98	265	21																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.583466	10.06	245	1																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.455377	10.19	265	1																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.620164	50.05	245	2																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.464942	50.19	265	2																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.657026	90.05	245	3																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.473664	90.19	265	3																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.694332	130.05	245	4																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.482383	130.19	265	4																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.732274	170.05	245	5																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.491077	170.19	265	5																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.77156	210.05	245	6																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.500125	210.19	265	6																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.811032	250.05	245	7																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.50904	250.19	265	7																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.850653	290.05	245	8																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.51791	290.19	265	8																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.890248	330.05	245	9																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.526691	330.19	265	9																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.929279	370.05	245	10																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.535097	370.19	265	10																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.969484	410.05	245	11																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.543842	410.19	265	11																																			
