,1,2,3,4,5,6,7,8,9,10,11,12
"A","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG"
"B","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG"
"C","S:Vfl_WT_sG","S:Vfl_WT_sG",0:empty well,"S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG",0,"S:Vfl_WT_sG","S:Vfl_WT_sG"
"D","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG"
"E","R:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG"
"F","R:Vfl_WT_sG","S:Vfl_WT_sG",0,"S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG",0,"S:Vfl_WT_sG","S:Vfl_WT_sG"
"G","R:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG"
"H","R:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG","S:Vfl_WT_sG"
